symbol,company_name,market_cap,ttm_revenue,ttm_earnings,pe_ttm,pe_forward,profit_margin,revenue_cagr_5yr,earnings_cagr_5yr,no_loss_5yr,price,ntm_eps_growth,extraction_date
MMM,3M Company,74876195989,25024000000,2787000000,27.50191570881226,16.527821910301224,0.13027096360429694,-0.04965970683619114,-0.08524445829682004,False,143.56,0.09241350409166049,2026-05-08
AOS,A. O. Smith Corporation,8343289797,3811900000,527600000,15.882978723404255,15.779947417790755,0.14260351939846483,0.05756136403417389,0.12521290978061939,True,59.72,0.09981635861595173,2026-05-08
ABT,Abbott Laboratories,147496470800,45134000000,6276000000,23.522222222222222,15.47065088908742,0.14717560007218913,0.05075224605174555,0.08216681566190176,True,84.68,0.10676722224353674,2026-05-08
ABBV,AbbVie Inc.,356086763200,62819000000,3639000000,98.71046825202254,14.15696709552929,0.06909744931327665,0.05952891709050534,-0.027886129642728297,True,201.32,0.14279254825407706,2026-05-08
ACN,Accenture plc,111209122028,72110322000,7682413000,14.667207792207794,13.020279788303364,0.11020675921455172,0.09465969836955224,0.08884802450889429,True,180.7,0.07749408250980849,2026-05-08
ADBE,Adobe Inc.,101931156000,24453000000,7208000000,14.670157068062826,10.717181659161495,0.2999705498758888,0.13057654594156753,0.08866866733389989,True,252.18,0.12291525360341748,2026-05-08
AMD,"Advanced Micro Devices, Inc.",726024650000,37454000000,4992000000,144.5616883116883,61.020400891356964,0.12514795461762754,0.2882389065515516,0.04920026914708697,True,445.25,0.7448216600838182,2026-05-08
AES,The AES Corporation,10182662776,12487000000,1052000000,11.899999999999999,6.157693883271167,0.077577045696068,0.04834005277483189,0.7826024579660034,False,14.28,0.04764882171578888,2026-05-08
AFL,Aflac Incorporated,58488839406,18222000000,4636000000,12.901136363636363,16.012603596030488,0.20908361050579194,-0.04766356364823654,0.005031328356816189,True,113.53,0.07591353504352583,2026-05-08
A,"Agilent Technologies, Inc.",32763462180,7065000000,1290000000,25.536343612334804,19.414297268919874,0.18753598157743234,0.05409554484855006,0.14522640524625596,True,115.935,0.10082841703186562,2026-05-08
